numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
83-0039-LPR23,EX-2023-108942951-   -APN-DCYC#MC,Servicio de mantenimiento mensual de Grupos Electrógenos - Centro Cultural Kirchner.,Licitación Privada,05/12/2023 15:00 Hrs.,Disponible Para Adjudicar,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0039-LPU23,EX-2023-62271203-   -APN-DCYC#MC,Servicio de Ambulancia Fijo con Unidad de Terapia Intensiva Móvil de Alta Complejidad - TECNOPOLIS,Licitación Pública,25/07/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0040-CDI23,EX-2023-52715520-   -APN-DCYC#MC,"Contratación Directa por Especialidad de ""TOMÁS RODOLFO ARINCI"" - DNEE",Contratación Directa,16/06/2023 16:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0041-CDI23,EX-2023-52726269-   -APN-DCYC#MC,"Contratación Directa por Especialidad de ""BRUNO LUCIO VIDELA"" - DNEE",Contratación Directa,16/06/2023 17:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0041-LPU23,EX-2023-65977697-   -APN-DCYC#MC,SERVICIO DE SOCORRISMO Y ALQUILER DE CARPAS SANITARIAS – TECNÓPOLIS,Licitación Pública,02/08/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0042-CDI23,EX-2023-52829303-   -APN-DCYC#MC,Contratación del Maestro ZARATE CRISTIAN DANIEL para la realización de arreglos y orquestaciones,Contratación Directa,16/06/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0042-LPU23,EX-2023-69826338-   -APN-DCYC#MC,Adquisición de Insumos Eléctricos para el Parque Tecnópolis del Bicentenario.,Licitación Pública,24/08/2023 11:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0043-CDI23,EX-2023-53000946-   -APN-DCYC#MC,"Contratación Directa por Especialidad del Maestro ""Mario Esteban"" - DNEE",Contratación Directa,16/06/2023 15:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0043-LPR23,EX-2023-113857160-   -APN-DCYC#MC,Adquisición de Electrodomésticos - DNEE,Licitación Privada,06/11/2023 11:00 Hrs.,En Apertura,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0043-LPU23,EX-2023-75361636-   -APN-DCYC#MC,SERVICIO DE MOVIMIENTOS DE ESTRUCTURA TUBULAR PROPIA con destino el Microestadio -TECNOPOLIS,Licitación Pública,10/08/2023 11:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0044-CDI23,EX-2023-54120092-   -APN-DCYC#MC,Convenio UNTREF 2023 - Cursos Virtuales,Contratación Directa,04/07/2023 11:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0044-LPR23,EX-2023-52217335-   -APN-DCYC#MC,"Suministro y colocación de vidrios y espejos con destino al ""Parque Tecnópolis""",Licitación Privada,14/12/2023 13:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0044-LPU23,EX-2023-75843351-   -APN-DCYC#MC,Adquisición de Insumos de Pinturería - Parque Tecnópolis del Bicentenario.,Licitación Pública,30/08/2023 12:00 Hrs.,Adjudicado,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0045-CDI23,EX-2023-54296447-   -APN-DCYC#MC,"ADQUISICION DE HORNO CONVECTOR con destino al comedor del ""PARQUE TECNÓPOLIS""",Contratación Directa,06/07/2023 14:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
83-0045-LPR23,EX-2023-118559183-   -APN-DCYC#MC,Servicio de diseño e impresión en braille de recibos de sueldo para los agentes con discapacidad,Licitación Privada,13/11/2023 12:00 Hrs.,Dejado Sin Efecto,83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,2026-07-04T12:29:34.410248
