numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
79-0013-LPR24,EX-2024-72074227-   -APN-DCYC#JGM,Solicitud de adquisición de desfibriladores,Licitación Privada,18/10/2024 12:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0013-LPU23,EX-2023-57514509-   -APN-DCYS#JGM,"Servicio de mantenimiento preventivo, correctivo y de emergencia de equipos y sistemas de aires",Licitación Pública,16/06/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0014-CDI23,EX-2023-12303603-   -APN-DCYS#JGM,Contratación de los servicios de la “Asociación para el Fortalecimiento Comunitario”,Contratación Directa,27/02/2023 12:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0014-LPR23,EX-2023-77826619-   -APN-DCYS#JGM,Adquisición de impresoras de códigos de barras y equipamientos varios para la JGM,Licitación Privada,18/08/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0014-LPU23,EX-2023-64733458-   -APN-DCYS#JGM,Servicio de envío de correos electrónicos transaccionales,Licitación Pública,07/08/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0015-LPR23,EX-2023-79080326-   -APN-DCYS#JGM,Servicio de renovación de licencias de antivirus para estaciones de trabajo y servidores,Licitación Privada,11/08/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0015-LPR24,EX-2024-86317693-   -APN-DCYC#JGM,Adquisición de Solución Llave en mano para Implementación de Sistema de CCTV Ed. Somisa JGM,Licitación Privada,28/11/2024 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0015-LPU22,EX-2022-128071513-   -APN-DCYS#JGM,Servicio de mantenimiento de equipos de aire acondicionado para edificios JGM,Licitación Pública,09/02/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0016-LPR23,EX-2023-93075222-   -APN-DCYS#JGM,Contratación servicio integral de organización de eventos - Consejo Federal de la Sociedad Civil,Licitación Privada,01/09/2023 09:00 Hrs.,Adjudicado con doc. contractuales generados,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0016-LPR24,EX-2024-86322060-   -APN-DCYC#JGM,Adquisición de elementos de protección personal para los distintos talleres de JGM,Licitación Privada,15/10/2024 11:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
